MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS,배포처
서울특별시,11,금천구,11545,1,301650,541850,biz-gis.com
서울특별시,11,영등포구,11560,1,302550,548050,biz-gis.com
경기도,41,성남시 분당구,41135,2,322650,534750,biz-gis.com
경기도,41,안산시 단원구,41273,1,290350,523550,biz-gis.com
경기도,41,안산시 단원구,41273,1,292550,524750,biz-gis.com
서울특별시,11,서초구,11650,1,311650,544550,biz-gis.com
대구광역시,27,달서구,27290,1,446050,357650,biz-gis.com
경상북도,47,포항시 남구,47111,1,521150,379050,biz-gis.com
서울특별시,11,성동구,11200,1,315750,549250,biz-gis.com
경기도,41,부천시 오정구,41199,1,290750,547050,biz-gis.com
충청남도,44,아산시,44200,1,314150,474150,biz-gis.com
서울특별시,11,종로구,11110,1,310450,552650,biz-gis.com
서울특별시,11,강남구,11680,1,317450,543950,biz-gis.com
서울특별시,11,서초구,11650,1,313350,542850,biz-gis.com
부산광역시,26,사하구,26380,1,487650,276650,biz-gis.com
울산광역시,31,남구,31140,1,520150,322250,biz-gis.com
서울특별시,11,중구,11140,1,310550,551950,biz-gis.com
경상남도,48,함안군,48730,1,433150,301850,biz-gis.com
대전광역시,30,서구,30170,1,344750,417250,biz-gis.com
서울특별시,11,강남구,11680,1,314750,544650,biz-gis.com
부산광역시,26,강서구,26440,1,477750,277250,biz-gis.com
서울특별시,11,강남구,11680,1,316350,546650,biz-gis.com
서울특별시,11,성동구,11200,1,316250,549650,biz-gis.com
부산광역시,26,영도구,26200,1,496050,277850,biz-gis.com
서울특별시,11,금천구,11545,1,301650,541050,biz-gis.com
인천광역시,28,서구,28260,1,276750,548550,biz-gis.com
충청남도,44,천안시 동남구,44131,1,321650,461850,biz-gis.com
울산광역시,31,북구,31200,1,526250,326450,biz-gis.com
경상북도,47,영천시,47230,1,484850,370050,biz-gis.com
경기도,41,성남시 분당구,41135,1,321450,530950,biz-gis.com
서울특별시,11,강남구,11680,1,317350,545550,biz-gis.com
경기도,41,군포시,41410,1,307250,529550,biz-gis.com
서울특별시,11,강남구,11680,1,315150,545650,biz-gis.com
서울특별시,11,강남구,11680,1,315950,545350,biz-gis.com
충청남도,44,아산시,44200,1,310950,465150,biz-gis.com
서울특별시,11,강동구,11740,1,323950,548450,biz-gis.com
서울특별시,11,강남구,11680,2,317550,545450,biz-gis.com
서울특별시,11,강남구,11680,2,316050,545150,biz-gis.com
인천광역시,28,부평구,28237,1,285750,547350,biz-gis.com
경기도,41,이천시,41500,1,355150,521450,biz-gis.com
경기도,41,시흥시,41390,16,286350,528550,biz-gis.com
경기도,41,용인시 처인구,41461,1,326650,502950,biz-gis.com
경상남도,48,창원시 성산구,48123,1,462950,288450,biz-gis.com
강원도,42,원주시,42130,1,395850,533650,biz-gis.com
경기도,41,안산시 단원구,41273,1,290150,525450,biz-gis.com
서울특별시,11,양천구,11470,1,300450,547850,biz-gis.com
서울특별시,11,용산구,11170,1,312350,548750,biz-gis.com
경기도,41,안산시 단원구,41273,1,292550,522850,biz-gis.com
경상남도,48,창원시 성산구,48123,1,457650,290350,biz-gis.com
경기도,41,안산시 단원구,41273,1,292750,524750,biz-gis.com
광주광역시,29,광산구,29200,1,289850,284850,biz-gis.com
서울특별시,11,중구,11140,3,309950,551150,biz-gis.com
서울특별시,11,강남구,11680,1,314350,547050,biz-gis.com
경기도,41,수원시 영통구,41117,1,315550,516950,biz-gis.com
경상남도,48,김해시,48250,1,483150,301650,biz-gis.com
서울특별시,11,강남구,11680,5,316550,545250,biz-gis.com
경기도,41,안양시 동안구,41173,1,308650,534350,biz-gis.com
경상남도,48,양산시,48330,1,493750,308750,biz-gis.com
서울특별시,11,송파구,11710,1,323250,545350,biz-gis.com
충청남도,44,천안시 동남구,44131,1,322150,462550,biz-gis.com
서울특별시,11,금천구,11545,1,301850,542550,biz-gis.com
부산광역시,26,동구,26170,1,496850,282850,biz-gis.com
부산광역시,26,금정구,26410,1,503550,294350,biz-gis.com
인천광역시,28,서구,28260,1,282150,544050,biz-gis.com
인천광역시,28,서구,28260,1,283150,542650,biz-gis.com
경상남도,48,양산시,48330,1,505750,308150,biz-gis.com
경기도,41,성남시 분당구,41135,2,321050,530750,biz-gis.com
경기도,41,성남시 분당구,41135,1,321350,526550,biz-gis.com
경기도,41,고양시 일산동구,41285,1,293150,560450,biz-gis.com
서울특별시,11,영등포구,11560,1,304850,547950,biz-gis.com
경기도,41,용인시 기흥구,41463,1,320850,520950,biz-gis.com
서울특별시,11,영등포구,11560,4,305450,547150,biz-gis.com
경기도,41,화성시,41590,1,303150,499550,biz-gis.com
경기도,41,용인시 수지구,41465,1,320550,526350,biz-gis.com
서울특별시,11,강남구,11680,1,313450,546950,biz-gis.com
울산광역시,31,울주군,31710,1,523650,313050,biz-gis.com
충청북도,43,청원군,43710,1,349150,458050,biz-gis.com
전라북도,45,군산시,45130,1,276350,375250,biz-gis.com
충청북도,43,진천군,43750,1,349250,480150,biz-gis.com
인천광역시,28,연수구,28185,1,280050,531150,biz-gis.com
인천광역시,28,부평구,28237,1,286350,547050,biz-gis.com
경상남도,48,양산시,48330,1,496450,307850,biz-gis.com
경기도,41,이천시,41500,1,344750,515750,biz-gis.com
서울특별시,11,서대문구,11410,2,308850,551850,biz-gis.com
대구광역시,27,달서구,27290,1,446850,359450,biz-gis.com
울산광역시,31,남구,31140,1,523850,326550,biz-gis.com
서울특별시,11,서초구,11650,1,312150,543050,biz-gis.com
서울특별시,11,중구,11140,1,310150,552050,biz-gis.com
경기도,41,성남시 중원구,41133,1,326850,537550,biz-gis.com
서울특별시,11,성동구,11200,1,317250,549450,biz-gis.com
서울특별시,11,금천구,11545,1,300850,542850,biz-gis.com
경기도,41,화성시,41590,1,302550,501650,biz-gis.com
서울특별시,11,영등포구,11560,1,305250,547050,biz-gis.com
인천광역시,28,남동구,28200,1,285650,539550,biz-gis.com
서울특별시,11,중구,11140,1,311250,551450,biz-gis.com
부산광역시,26,부산진구,26230,1,497350,285050,biz-gis.com
서울특별시,11,종로구,11110,1,309750,557150,biz-gis.com
부산광역시,26,강서구,26440,1,477150,276750,biz-gis.com
부산광역시,26,사하구,26380,1,489150,273050,biz-gis.com
서울특별시,11,금천구,11545,1,301050,542950,biz-gis.com
경상북도,47,영천시,47230,1,485150,370450,biz-gis.com
서울특별시,11,노원구,11350,1,318050,559950,biz-gis.com
서울특별시,11,서초구,11650,1,312850,543750,biz-gis.com
서울특별시,11,서초구,11650,1,312650,543550,biz-gis.com
서울특별시,11,강남구,11680,1,314750,546450,biz-gis.com
서울특별시,11,구로구,11530,2,302150,543250,biz-gis.com
서울특별시,11,영등포구,11560,2,305150,547450,biz-gis.com
서울특별시,11,종로구,11110,1,309550,553050,biz-gis.com
경기도,41,용인시 기흥구,41463,1,320250,517050,biz-gis.com
인천광역시,28,남동구,28200,1,285450,536150,biz-gis.com
서울특별시,11,강남구,11680,2,317550,545050,biz-gis.com
서울특별시,11,강남구,11680,1,315650,544850,biz-gis.com
서울특별시,11,강남구,11680,1,314550,546950,biz-gis.com
서울특별시,11,강남구,11680,1,316750,545550,biz-gis.com
서울특별시,11,강남구,11680,1,316950,546850,biz-gis.com
서울특별시,11,영등포구,11560,3,305150,547950,biz-gis.com
경기도,41,성남시 분당구,41135,3,321050,529750,biz-gis.com
경기도,41,이천시,41500,4,354650,516850,biz-gis.com
경기도,41,안양시 만안구,41171,1,305650,532050,biz-gis.com
경기도,41,오산시,41370,1,316450,504350,biz-gis.com
대전광역시,30,서구,30170,1,344550,416850,biz-gis.com
경기도,41,용인시 처인구,41461,1,339750,510350,biz-gis.com
서울특별시,11,송파구,11710,1,322350,545350,biz-gis.com
경기도,41,성남시 분당구,41135,1,322350,532050,biz-gis.com
서울특별시,11,금천구,11545,1,300750,542750,biz-gis.com
충청북도,43,진천군,43750,1,341250,481950,biz-gis.com
서울특별시,11,양천구,11470,3,300650,548050,biz-gis.com
경상남도,48,창원시 성산구,48123,1,462050,290250,biz-gis.com
경기도,41,군포시,41410,1,306650,530850,biz-gis.com
서울특별시,11,금천구,11545,1,301950,542150,biz-gis.com
경기도,41,광주시,41610,1,333850,530850,biz-gis.com
경기도,41,여주군,41730,1,363550,524050,biz-gis.com
인천광역시,28,부평구,28237,1,287050,546950,biz-gis.com
충청북도,43,청원군,43710,1,350650,457850,biz-gis.com
경기도,41,안산시 단원구,41273,1,289850,524450,biz-gis.com
경기도,41,평택시,41220,1,308950,495350,biz-gis.com
서울특별시,11,강남구,11680,1,314650,545750,biz-gis.com
충청남도,44,천안시 서북구,44133,1,321850,474350,biz-gis.com
서울특별시,11,영등포구,11560,3,304750,547850,biz-gis.com
경기도,41,안양시 동안구,41173,1,309150,532650,biz-gis.com
서울특별시,11,용산구,11170,1,309150,548750,biz-gis.com
경기도,41,오산시,41370,1,314750,506950,biz-gis.com
서울특별시,11,강남구,11680,1,317250,545450,biz-gis.com
경기도,41,용인시 수지구,41465,2,320450,526150,biz-gis.com
대전광역시,30,대덕구,30230,1,347450,417750,biz-gis.com
경기도,41,평택시,41220,1,308650,495250,biz-gis.com
충청남도,44,천안시 동남구,44131,1,325250,469050,biz-gis.com
서울특별시,11,서초구,11650,1,310650,541950,biz-gis.com
서울특별시,11,구로구,11530,4,302450,543350,biz-gis.com
서울특별시,11,금천구,11545,2,301250,542050,biz-gis.com
서울특별시,11,금천구,11545,1,301750,541950,biz-gis.com
경기도,41,안산시 단원구,41273,1,289650,524750,biz-gis.com
경기도,41,성남시 중원구,41133,1,326450,537050,biz-gis.com
경상남도,48,창원시 의창구,48121,1,457750,293450,biz-gis.com
인천광역시,28,남동구,28200,1,285550,534750,biz-gis.com
인천광역시,28,남동구,28200,1,285550,534850,biz-gis.com
서울특별시,11,강남구,11680,1,314950,545950,biz-gis.com
경기도,41,성남시 분당구,41135,1,323150,534650,biz-gis.com
경기도,41,화성시,41590,1,319950,513250,biz-gis.com
서울특별시,11,용산구,11170,1,311750,548550,biz-gis.com
부산광역시,26,강서구,26440,1,478650,277150,biz-gis.com
경상북도,47,경산시,47290,1,474750,363150,biz-gis.com
서울특별시,11,용산구,11170,1,312350,548650,biz-gis.com
경기도,41,안산시 단원구,41273,1,293050,522650,biz-gis.com
경기도,41,평택시,41220,1,318350,490750,biz-gis.com
대구광역시,27,달서구,27290,1,443750,360850,biz-gis.com
서울특별시,11,강남구,11680,1,316450,545250,biz-gis.com
경상북도,47,경산시,47290,1,473050,361950,biz-gis.com
인천광역시,28,연수구,28185,1,279950,531050,biz-gis.com
경상북도,47,영천시,47230,1,480950,371350,biz-gis.com
서울특별시,11,송파구,11710,1,318750,545750,biz-gis.com
부산광역시,26,연제구,26470,1,498950,288050,biz-gis.com
강원도,42,평창군,42760,1,436450,532650,biz-gis.com
울산광역시,31,남구,31140,1,520350,323050,biz-gis.com
경기도,41,용인시 처인구,41461,1,332350,508150,biz-gis.com
경기도,41,안산시 단원구,41273,1,290650,524750,biz-gis.com
경기도,41,화성시,41590,1,302950,499550,biz-gis.com
서울특별시,11,서초구,11650,1,312750,542950,biz-gis.com
서울특별시,11,강남구,11680,1,316450,545150,biz-gis.com
서울특별시,11,용산구,11170,1,309550,549250,biz-gis.com
경기도,41,안산시 단원구,41273,1,290850,525050,biz-gis.com
부산광역시,26,강서구,26440,1,475750,278350,biz-gis.com
서울특별시,11,서초구,11650,1,312450,543950,biz-gis.com
경기도,41,안산시 단원구,41273,1,287850,524850,biz-gis.com
경기도,41,안성시,41550,1,334350,486550,biz-gis.com
경기도,41,안성시,41550,1,333950,486550,biz-gis.com
경상북도,47,포항시 남구,47111,1,524850,378450,biz-gis.com
경상북도,47,포항시 남구,47111,1,523050,377450,biz-gis.com
충청북도,43,음성군,43770,1,352950,484550,biz-gis.com
경기도,41,수원시 영통구,41117,1,316950,517850,biz-gis.com
서울특별시,11,중구,11140,1,310250,552050,biz-gis.com
부산광역시,26,강서구,26440,1,476050,278250,biz-gis.com
경기도,41,안성시,41550,1,342150,493050,biz-gis.com
경기도,41,화성시,41590,1,309250,498850,biz-gis.com
서울특별시,11,서초구,11650,1,315550,542050,biz-gis.com
부산광역시,26,사상구,26530,1,489350,283250,biz-gis.com
전라북도,45,군산시,45130,1,280550,376450,biz-gis.com
서울특별시,11,서초구,11650,1,312650,544650,biz-gis.com
서울특별시,11,영등포구,11560,1,304950,547950,biz-gis.com
서울특별시,11,강남구,11680,2,314850,544650,biz-gis.com
경기도,41,용인시 처인구,41461,1,344350,508650,biz-gis.com
경상남도,48,창원시 성산구,48123,1,463450,289050,biz-gis.com
경기도,41,화성시,41590,1,303250,499150,biz-gis.com
서울특별시,11,중구,11140,1,309750,551650,biz-gis.com
서울특별시,11,영등포구,11560,1,304550,544550,biz-gis.com
부산광역시,26,연제구,26470,1,498550,287850,biz-gis.com
서울특별시,11,송파구,11710,1,323050,542650,biz-gis.com
대구광역시,27,중구,27110,1,454850,363650,biz-gis.com
서울특별시,11,구로구,11530,3,302450,543250,biz-gis.com
서울특별시,11,서초구,11650,2,314350,543650,biz-gis.com
경기도,41,평택시,41220,1,318850,491150,biz-gis.com
서울특별시,11,서초구,11650,1,313550,544250,biz-gis.com
서울특별시,11,강남구,11680,3,313750,545850,biz-gis.com
서울특별시,11,금천구,11545,2,301250,541750,biz-gis.com
서울특별시,11,송파구,11710,1,322150,544450,biz-gis.com
서울특별시,11,마포구,11440,1,306850,548650,biz-gis.com
서울특별시,11,송파구,11710,1,321350,545950,biz-gis.com
서울특별시,11,강남구,11680,1,317450,545150,biz-gis.com
충청남도,44,천안시 서북구,44133,1,326950,472950,biz-gis.com
경기도,41,안양시 동안구,41173,2,309250,532650,biz-gis.com
경기도,41,부천시 원미구,41195,1,292750,546250,biz-gis.com
경기도,41,수원시 영통구,41117,1,316450,519350,biz-gis.com
경기도,41,성남시 분당구,41135,3,321650,531050,biz-gis.com
강원도,42,홍천군,42720,1,371950,560450,biz-gis.com
인천광역시,28,남동구,28200,1,284050,533450,biz-gis.com
서울특별시,11,종로구,11110,1,309450,552550,biz-gis.com
전라북도,45,정읍시,45180,1,295350,335350,biz-gis.com
부산광역시,26,사하구,26380,1,487450,274550,biz-gis.com
서울특별시,11,강남구,11680,3,316850,545350,biz-gis.com
경상북도,47,포항시 남구,47111,1,523450,377150,biz-gis.com
서울특별시,11,강남구,11680,2,317650,545650,biz-gis.com
서울특별시,11,관악구,11620,1,309450,542050,biz-gis.com
서울특별시,11,강남구,11680,3,317050,545450,biz-gis.com
부산광역시,26,금정구,26410,1,498950,295550,biz-gis.com
경상남도,48,김해시,48250,1,474550,291150,biz-gis.com
인천광역시,28,남동구,28200,1,285450,535950,biz-gis.com
서울특별시,11,강남구,11680,1,314850,546450,biz-gis.com
서울특별시,11,중구,11140,3,310650,551950,biz-gis.com
경기도,41,성남시 분당구,41135,2,325250,534050,biz-gis.com
경기도,41,화성시,41590,1,318150,507650,biz-gis.com
전라북도,45,부안군,45800,1,284350,349750,biz-gis.com
경기도,41,양주시,41630,1,316250,580450,biz-gis.com
서울특별시,11,서초구,11650,1,311050,543550,biz-gis.com
경기도,41,안산시 단원구,41273,1,291150,522950,biz-gis.com
경기도,41,동두천시,41250,1,316850,592250,biz-gis.com
서울특별시,11,노원구,11350,1,317350,561850,biz-gis.com
부산광역시,26,강서구,26440,1,476950,277550,biz-gis.com
서울특별시,11,강남구,11680,1,314350,544350,biz-gis.com
서울특별시,11,금천구,11545,1,301550,542750,biz-gis.com
서울특별시,11,관악구,11620,1,308050,539850,biz-gis.com
대전광역시,30,대덕구,30230,1,346450,427150,biz-gis.com
서울특별시,11,강남구,11680,1,315550,542650,biz-gis.com
경기도,41,안산시 단원구,41273,1,292650,523550,biz-gis.com
광주광역시,29,광산구,29200,1,291450,291050,biz-gis.com
서울특별시,11,구로구,11530,1,302850,543050,biz-gis.com
인천광역시,28,남동구,28200,1,284350,534750,biz-gis.com
서울특별시,11,강남구,11680,1,316450,543350,biz-gis.com
서울특별시,11,광진구,11215,1,318450,551350,biz-gis.com
서울특별시,11,마포구,11440,1,304650,550750,biz-gis.com
서울특별시,11,서초구,11650,1,311850,542750,biz-gis.com
경기도,41,안산시 단원구,41273,1,288950,523950,biz-gis.com
인천광역시,28,남동구,28200,1,285650,535750,biz-gis.com
경상북도,47,구미시,47190,1,434450,390550,biz-gis.com
서울특별시,11,마포구,11440,1,305350,549750,biz-gis.com
경기도,41,이천시,41500,1,355450,514950,biz-gis.com
경기도,41,평택시,41220,1,318450,490550,biz-gis.com
경기도,41,고양시 덕양구,41281,1,300150,553650,biz-gis.com
경기도,41,안성시,41550,1,321850,493750,biz-gis.com
충청북도,43,진천군,43750,1,352050,481350,biz-gis.com
인천광역시,28,중구,28110,1,277450,540150,biz-gis.com
경상남도,48,김해시,48250,1,469550,302850,biz-gis.com
충청북도,43,충주시,43130,1,377050,501350,biz-gis.com
대전광역시,30,유성구,30200,1,347150,424650,biz-gis.com
충청북도,43,청주시 흥덕구,43113,1,350750,449050,biz-gis.com
대구광역시,27,달서구,27290,1,446150,359150,biz-gis.com
경상남도,48,의령군,48720,1,425350,302050,biz-gis.com
인천광역시,28,남동구,28200,1,284750,533050,biz-gis.com
서울특별시,11,중구,11140,1,309750,550750,biz-gis.com
경기도,41,안양시 동안구,41173,1,306650,532750,biz-gis.com
충청북도,43,청원군,43710,1,356050,463550,biz-gis.com
경기도,41,안성시,41550,1,330850,493150,biz-gis.com
대구광역시,27,달서구,27290,1,443850,359850,biz-gis.com
경기도,41,성남시 중원구,41133,2,327050,537150,biz-gis.com
경기도,41,평택시,41220,1,319750,488250,biz-gis.com
서울특별시,11,관악구,11620,1,307550,542050,biz-gis.com
충청남도,44,아산시,44200,1,317650,471250,biz-gis.com
서울특별시,11,구로구,11530,1,302250,544550,biz-gis.com
대구광역시,27,달서구,27290,1,445750,359450,biz-gis.com
충청북도,43,청원군,43710,1,349250,458150,biz-gis.com
서울특별시,11,구로구,11530,1,302350,542950,biz-gis.com
서울특별시,11,광진구,11215,2,320250,548550,biz-gis.com
경기도,41,안양시 만안구,41171,1,306150,531950,biz-gis.com
경상남도,48,창원시 성산구,48123,1,460550,289750,biz-gis.com
경기도,41,수원시 장안구,41111,1,310250,522850,biz-gis.com
서울특별시,11,영등포구,11560,1,305350,547150,biz-gis.com
경상남도,48,창원시 성산구,48123,1,462050,291950,biz-gis.com
경상남도,48,창원시 성산구,48123,1,460850,289250,biz-gis.com
인천광역시,28,남동구,28200,1,285050,535750,biz-gis.com
경기도,41,성남시 중원구,41133,1,327050,538150,biz-gis.com
경기도,41,부천시 원미구,41195,1,292650,546050,biz-gis.com
경상남도,48,함안군,48730,1,430150,301850,biz-gis.com
서울특별시,11,서초구,11650,1,312950,542650,biz-gis.com
서울특별시,11,서초구,11650,1,313750,544950,biz-gis.com
경상북도,47,경주시,47130,1,510650,364650,biz-gis.com
부산광역시,26,사하구,26380,1,488650,277150,biz-gis.com
대구광역시,27,달서구,27290,1,443450,360050,biz-gis.com
서울특별시,11,영등포구,11560,5,305550,547850,biz-gis.com
서울특별시,11,강남구,11680,3,317150,545750,biz-gis.com
경기도,41,평택시,41220,1,316850,500550,biz-gis.com
경상북도,47,경주시,47130,1,519950,341050,biz-gis.com
충청남도,44,천안시 동남구,44131,1,337050,461850,biz-gis.com
서울특별시,11,중구,11140,1,310250,551250,biz-gis.com
경기도,41,화성시,41590,1,309150,500650,biz-gis.com
인천광역시,28,서구,28260,1,276950,548350,biz-gis.com
인천광역시,28,서구,28260,1,283450,542550,biz-gis.com
서울특별시,11,구로구,11530,1,302350,542850,biz-gis.com
경기도,41,성남시 분당구,41135,1,321450,528050,biz-gis.com
부산광역시,26,서구,26140,1,492850,279850,biz-gis.com
경기도,41,성남시 분당구,41135,1,323950,534750,biz-gis.com
경기도,41,성남시 분당구,41135,1,321850,531250,biz-gis.com
경기도,41,안산시 단원구,41273,1,293150,524550,biz-gis.com
서울특별시,11,서초구,11650,1,312750,544950,biz-gis.com
서울특별시,11,서대문구,11410,1,306550,551950,biz-gis.com
대구광역시,27,달성군,27710,1,441150,348850,biz-gis.com
서울특별시,11,서초구,11650,1,311250,544450,biz-gis.com
경기도,41,평택시,41220,1,319350,492750,biz-gis.com
서울특별시,11,강남구,11680,1,313850,546650,biz-gis.com
서울특별시,11,송파구,11710,1,318850,545550,biz-gis.com
경기도,41,안산시 단원구,41273,1,293850,524250,biz-gis.com
경기도,41,평택시,41220,1,317550,493550,biz-gis.com
경기도,41,양주시,41630,1,318050,582150,biz-gis.com
인천광역시,28,남동구,28200,1,285350,534050,biz-gis.com
서울특별시,11,용산구,11170,1,309050,549050,biz-gis.com
경기도,41,용인시 기흥구,41463,1,320350,517650,biz-gis.com
경기도,41,안산시 단원구,41273,1,292250,525450,biz-gis.com
서울특별시,11,금천구,11545,1,301050,542350,biz-gis.com
서울특별시,11,중구,11140,1,309250,551550,biz-gis.com
경상북도,47,포항시 남구,47111,1,523250,377850,biz-gis.com
경기도,41,광주시,41610,1,328250,527750,biz-gis.com
경기도,41,평택시,41220,1,315350,493950,biz-gis.com
서울특별시,11,마포구,11440,1,307750,550050,biz-gis.com
충청남도,44,공주시,44150,1,323950,413750,biz-gis.com
경상남도,48,양산시,48330,1,493850,307650,biz-gis.com
부산광역시,26,부산진구,26230,1,495950,285350,biz-gis.com
서울특별시,11,중구,11140,1,309950,551550,biz-gis.com
